Participant_ID,TPT,AA,SDLP
P29,STP,Audio Assistance Enabled,0.105297152
P29,RSVP,Audio Assistance Disabled,0.245753631
P29,RSVP,Audio Assistance Disabled,0.164796107
P29,RSVP,Audio Assistance Enabled,0.267408824
P29,RSVP,Audio Assistance Enabled,0.118720974
P30,STP,Audio Assistance Disabled,0.248150722
P30,STP,Audio Assistance Disabled,0.225746145
P30,STP,Audio Assistance Enabled,0.490676235
P30,STP,Audio Assistance Enabled,0.233839923
P30,RSVP,Audio Assistance Disabled,0.219560086
P30,RSVP,Audio Assistance Disabled,0.185796158
P30,RSVP,Audio Assistance Enabled,0.17634511
P30,RSVP,Audio Assistance Enabled,0.264438224
