Participant_ID,Text Presentation Technique,Audio Assistance,Standard Deviation in Lane Position (in meters)
P27,STP,Audio Assistance Disabled,0.22174189888408455
P27,STP,Audio Assistance Disabled,0.35209964138163014
P27,STP,Audio Assistance Enabled,0.4337936415842307
P27,STP,Audio Assistance Enabled,0.4978135180540442
P27,RSVP,Audio Assistance Disabled,0.522136579724096
P27,RSVP,Audio Assistance Disabled,0.26164019380786124
P27,RSVP,Audio Assistance Enabled,0.2959227182161438
P27,RSVP,Audio Assistance Enabled,0.2529079200461808
P28,STP,Audio Assistance Disabled,0.51003694399621
P28,STP,Audio Assistance Disabled,0.6465853751580029
P28,STP,Audio Assistance Enabled,0.29195566947772755
P28,STP,Audio Assistance Enabled,0.1706511314248594
P28,RSVP,Audio Assistance Disabled,0.35770941592047745
P28,RSVP,Audio Assistance Disabled,0.18465498500926172
P28,RSVP,Audio Assistance Enabled,0.5996430712211037
P29,STP,Audio Assistance Disabled,0.10952829129532496
P29,STP,Audio Assistance Disabled,0.13789809690903276
P29,STP,Audio Assistance Enabled,0.3321886790209425
P29,STP,Audio Assistance Enabled,0.10529715206104408
P29,RSVP,Audio Assistance Disabled,0.24575363083724833
P29,RSVP,Audio Assistance Disabled,0.16479610720315718
P29,RSVP,Audio Assistance Enabled,0.26740882352670303
P29,RSVP,Audio Assistance Enabled,0.11872097356863023
P30,STP,Audio Assistance Disabled,0.24815072236629418
P30,STP,Audio Assistance Disabled,0.22574614520854533
P30,STP,Audio Assistance Enabled,0.4906762349866115
P30,STP,Audio Assistance Enabled,0.23383992302265436
P30,RSVP,Audio Assistance Disabled,0.2195600856607907
P30,RSVP,Audio Assistance Disabled,0.18579615770469354
P30,RSVP,Audio Assistance Enabled,0.17634511029748598
P30,RSVP,Audio Assistance Enabled,0.2644382237769221
